 Destination Port, Flow Duration, Total Fwd Packets,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
88,640,7,0,0,0,1,0,0,0,0,0,72.54545455,0,0,0,0,0,0,0,FTP-Patator
88,900,9,0,0,0,1,0,0,0,0,0,272.6153846,0,0,0,0,0,0,0,FTP-Patator
88,1205,7,0,0,0,1,0,0,0,0,0,509.6363636,0,0,0,0,0,0,0,BENIGN
88,511,7,0,0,0,1,0,0,0,0,0,74.72727273,0,0,0,0,0,0,0,BENIGN
88,773,9,0,0,0,1,0,0,0,0,0,273.5384615,0,0,0,0,0,0,0,BENIGN
88,986,9,0,0,0,1,0,0,0,0,0,408.6666667,0,0,0,0,0,0,0,BENIGN
88,935,9,0,0,0,1,0,0,0,0,0,405.6,0,0,0,0,0,0,0,BENIGN
389,572849,15,0,0,0,1,0,0,0,0,0,188.7407407,0,0,0,0,0,0,0,BENIGN
49193,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
88,1075,9,0,0,0,1,0,0,0,0,1,340.5555556,0,0,0,0,0,0,0,FTP-Patator
88,2687,9,0,0,0,1,0,0,0,0,0,405.6,0,0,0,0,0,0,0,FTP-Patator
135,14263712,21,0,0,0,1,0,0,0,0,0,104.4848485,0,0,0,0,0,0,0,FTP-Patator
49671,14257993,11,0,0,0,1,0,0,0,0,0,266.9411765,0,0,0,0,0,0,0,FTP-Patator
135,68,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,BENIGN
49671,58,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,BENIGN
80,26641766,4,0,0,0,1,0,0,0,0,1,66,0,0,0,0,0,0,0,BENIGN
49666,34256029,39,0,0,0,1,0,0,0,0,0,254.7123288,0,0,0,0,0,0,0,BENIGN
49666,62,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,BENIGN
443,310531,15,0,0,0,1,0,0,0,0,0,198.9642857,0,0,0,0,0,0,0,FTP-Patator
49212,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FTP-Patator
443,123156,9,0,0,0,1,0,0,0,0,0,295.5294118,0,0,0,0,0,0,0,BENIGN
49220,36020,2,0,1,0,0,1,0,0,0,0,25.33333333,0,0,0,0,0,0,0,BENIGN
443,689974,12,0,0,0,1,0,0,0,0,0,207.1818182,0,0,0,0,0,0,0,BENIGN
443,1581930,14,0,0,0,1,0,0,0,0,0,228.3333333,0,0,0,0,0,0,0,BENIGN
443,2346262,12,0,0,0,1,0,0,0,0,0,233.0454545,0,0,0,0,0,0,0,BENIGN
443,2830799,72,0,0,0,1,0,0,0,0,1,799.4659686,0,0,0,0,0,0,0,BENIGN
80,2989643,7,0,0,0,1,0,0,0,0,0,214.3636364,0,0,0,0,0,0,0,BENIGN
80,3182843,9,0,0,0,1,0,0,0,0,0,252.6428571,0,0,0,0,0,0,0,BENIGN
443,3266983,13,0,0,0,1,0,0,0,0,0,197.0869565,0,0,0,0,0,0,0,BENIGN
80,4770553,6,0,0,0,1,0,0,0,0,0,246.2,0,0,0,0,0,0,0,BENIGN
443,4953235,14,0,0,0,1,0,0,0,0,0,478.0384615,0,0,0,0,0,0,0,BENIGN
80,10637980,6,0,0,0,1,0,0,0,0,0,67.7,0,114131,114131,9989850,0,9989850,9989850,BENIGN
443,4589384,8,0,0,0,1,0,0,0,0,0,291.3571429,0,0,0,0,0,0,0,BENIGN
49219,915,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
49214,9749,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
49217,1484,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FTP-Patator
49222,640,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FTP-Patator
49210,2451,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
49207,347,3,0,0,0,0,1,0,0,0,0,10.33333333,0,0,0,0,0,0,0,BENIGN
49219,237019,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
445,90030854,10,0,0,0,0,1,0,0,0,1,0.55,39318.13089,68162,57,30000000,35592.50011,30000000,29900000,BENIGN
80,46033236,4,0,0,0,1,0,0,0,0,1,328.875,0,0,0,0,0,0,0,BENIGN
80,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
443,60494983,11,0,0,0,1,0,0,0,0,0,391.6,0,0,0,0,0,0,0,BENIGN
80,82523355,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
80,109373101,5,0,0,0,1,0,0,0,0,0,58.25,0,0,0,0,0,0,0,BENIGN
80,109543074,5,0,0,0,1,0,0,0,0,0,228.125,0,0,0,0,0,0,0,BENIGN
80,109722768,6,0,0,0,1,0,0,0,0,0,67.8,0,0,0,0,0,0,0,BENIGN
80,109861018,9,0,0,0,1,0,0,0,0,0,366.5714286,0,0,0,0,0,0,0,FTP-Patator
389,493,11,0,0,0,1,0,0,0,0,0,33.2,0,0,0,0,0,0,0,FTP-Patator
389,420,11,0,0,0,1,0,0,0,0,0,33.2,0,0,0,0,0,0,0,FTP-Patator
53566,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,FTP-Patator
88,1170,9,0,0,0,1,0,0,0,0,0,430.5333333,0,0,0,0,0,0,0,BENIGN
51130,10,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,BENIGN
88,1155,9,0,0,0,1,0,0,0,0,0,430.5333333,0,0,0,0,0,0,0,BENIGN
0,106007973,26,0,0,0,0,0,0,0,0,0,0,2273625.292,4789258,19,19800000,8154880.571,27200000,7234941,BENIGN
123,64015367,4,0,0,0,0,0,0,0,0,1,54,0,139,139,64000000,0,64000000,64000000,BENIGN
88,1260,9,0,0,0,1,0,0,0,0,0,405.6,0,0,0,0,0,0,0,BENIGN
88,491,7,0,0,0,1,0,0,0,0,0,493.6363636,0,0,0,0,0,0,0,BENIGN
88,1344,9,0,0,0,1,0,0,0,0,0,405.7333333,0,0,0,0,0,0,0,BENIGN
88,689,7,0,0,0,1,0,0,0,0,0,493.8181818,0,0,0,0,0,0,0,BENIGN
56922,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,BENIGN
88,691,7,0,0,0,1,0,0,0,0,0,80,0,0,0,0,0,0,0,BENIGN
88,914,9,0,0,0,1,0,0,0,0,0,283.8461538,0,0,0,0,0,0,0,BENIGN
88,1103,9,0,0,0,1,0,0,0,0,0,409.3333333,0,0,0,0,0,0,0,BENIGN
88,534,7,0,0,0,1,0,0,0,0,0,510.3636364,0,0,0,0,0,0,0,BENIGN
1034,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,BENIGN
88,914,9,0,0,0,1,0,0,0,0,0,411.8666667,0,0,0,0,0,0,0,BENIGN
389,4574,13,0,0,0,1,0,0,0,0,1,377.6153846,0,0,0,0,0,0,0,BENIGN
88,2080,7,0,0,0,1,0,0,0,0,0,80.54545455,0,0,0,0,0,0,0,BENIGN
88,1901,9,0,0,0,1,0,0,0,0,0,288,0,0,0,0,0,0,0,BENIGN
88,1577,9,0,0,0,1,0,0,0,0,0,410.8,0,0,0,0,0,0,0,BENIGN
88,9742,9,0,0,0,1,0,0,0,0,0,404.6666667,0,0,0,0,0,0,0,BENIGN
88,1396,7,0,0,0,1,0,0,0,0,0,521.8181818,0,0,0,0,0,0,0,FTP-Patator
88,1840,8,0,0,0,1,0,0,0,0,0,378.2857143,0,0,0,0,0,0,0,FTP-Patator
88,1706,7,0,0,0,1,0,0,0,0,0,80.54545455,0,0,0,0,0,0,0,BENIGN
88,2104,9,0,0,0,1,0,0,0,0,0,288,0,0,0,0,0,0,0,FTP-Patator
88,1249,9,0,0,0,1,0,0,0,0,0,410.8,0,0,0,0,0,0,0,FTP-Patator
88,9267,9,0,0,0,1,0,0,0,0,0,408.2666667,0,0,0,0,0,0,0,FTP-Patator
88,3788,7,0,0,0,1,0,0,0,0,0,519.0909091,0,0,0,0,0,0,0,FTP-Patator
